"序號",標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-1,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,保護無辜的生命,"歡迎加入FB社團:毛孩的事就是我的事。無政治，無國界，守護犬貓安全。

「寵物不只是行李」這個「貨艙悲歌」已經延宕了30年。 若非不得已， 我們手無寸鐵的小老百姓不會如此勞心傷神去提出這個議題。 

韓國、越南、美國和多個歐洲國家已經允許寵物與主人一起搭乘客艙，這是一個被證實能保障動物安全與乘客利益的制度。

狗狗貓貓⋯是我們家庭中的一員，也應該在飛行時得到應有的保護和尊重。我們的提案，並不是基於情感，而是參考了國際上許多國家的實踐經驗。

我們希望台灣也能朝這個方向邁進，讓我們的動物福利政策與國際接軌。

對於部分認知於安全問題的擔憂，我們完全理解，也十分重視。我們的提案將嚴格遵循國際航空安全標準，確保所有乘客、動物和機組人員的安全。

 以下為具體建議施行方式：
 &bull; 部分航班提供寵物進艙服務：我們建議並非所有航班都允許寵物進入客艙，而是選定部分航班進行試點。
 &bull; 訂票時清楚標示：在訂票系統中標明哪些航班提供寵物進艙服務，讓乘客能夠根據需求進行選擇。
 &bull; 限制數量與安排特訂區：每個航班允許的寵物數量將受到嚴格限制，並且會安排在機艙的特定區域，以確保其他乘客的舒適。

 &bull; 購買機票：每隻寵物都需要購買一張機票，這不僅是為了公平，也可以幫助航空公司適當安排空間和服務。

 &bull; 嚴格遵循國際航空安全標準：要求飼主的權利與義務，例如: 禁止網美打卡的炫耀，把犬貓帶出座位處...等等失控行為..確保每一航班的安全，包括乘客、寵物及機組人員的保障。

這不是一個簡單的變革，需要多方合作與專業知識的投入。未來的政策討論，我們會與政府航空公司密切合作，確保每個細節都被妥善考慮，並制定出更具體的保障措施。

我理解，社會上對各種不同的議題有正反兩種聲音，這是任何改變過程中的必然現象。但是，「生命教育」是不容忽視的事實。

對此，我們始終保持開放態度我們希望大眾能以理性和專業的態度來看待這項提議。

因為我們的目標始終是為了「保護動物的生命安全」，而不是情緒化的對立。

變革從來不會一蹴而就，我們堅持推動這項提案，因為我們相信它不僅能保障寵物的安全，還能讓我們的社會國家形象，真正落實寵物友善的路⋯更往前一步。

期待不久的將來，所有的狗狗貓貓們， 都能安心、安全，在空中飛翔!",2024-05-03 00:25:25,其他想法,222,2
M-2,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,問一下，寵物涵蓋的範圍有哪些?除了毛孩以外的寵物還能被納入規範嗎?,2024-05-03 01:07:25,其他想法,41,1
M-3,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,林沛儒 Link,"如果讓所有乘客精神浩劫的哭鬧小孩可以上客艙
乖狗乖貓應該也可以",2024-05-03 10:19:54,其他想法,216,2
M-4,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Cheer,"身為必須出國工作的海外台灣人，毛小孩已經視為不可分割的家人必須帶在身邊工作生活。
但經歷過一次回台看到貓必須獨自身處在巨大高分貝和黑暗的環境好幾小時之後的慘樣，真的心都碎了。如果能跟著飼主上客艙對人和動物都會是極大的福音！",2024-05-03 10:55:50,其他想法,154,2
M-5,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,,這篇提案什麼都很讚，但就是使用了&ldquo;生活質量&rdquo;這個詞彙，使用質量表示品質，是增加語言模糊性的一種行為，也降低了語言多樣性，請不要使用,2024-05-04 13:21:26,贊成論點,8,77
M-6,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,湯士逸,"請大家幫我復議（限台灣）
日本之前飛機意外 
在貨艙的三隻貓咪就這樣活活被燒死..
韓國航空已開放寵物可上機
台灣愛心熱愛動物國家怎麼可以沒有？
5/3/2024 修改寵物航空運輸條款/寵物友善航班 開始聯署💪🏻💪🏻💪🏻 ㄧ起加油讓5000 覆議早日通過！",2024-05-05 06:56:42,其他想法,171,2
M-7,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,伐伐伐木工,"要求可以與寵物同艙，
可能會其他旅客(過敏或防疫需求)，
造成一些問題。

另一個可能的做法，
我認為建立新的艙等『寵物艙』或『寵物友善艙』
有其必要性與商業價值，
不知提案者是否可以認同。",2024-05-06 16:10:50,贊成論點,19,85
M-8,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,Ally,寵物是生命也是家人不能視同物品,2024-05-06 21:48:05,其他想法,131,2
M-9,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,sahasrara,人類的思維想法不斷地在進步，文明的國家都允許寵物進客艙了，並且以尊重生命的態度看待寵物。寵物是我們的家人，更是許多家庭的小孩，他們不應該以「行李」的方式被對待。如果有人說他們會吵，其實人類的幼兒也會發出不可控的噪音，並且家長是可以安撫控制寵物情緒的。如果說他們會造成過敏，許多人對很多香水過敏，一樣需要在機艙中忍耐或是換座位。請以「文明」的方式思考這個議題，善待寵物給予他們權利，是人類文明進步必然發生的事。台灣是文明的國家，有一天也必將跟上文明的腳步。,2024-05-06 21:57:12,其他想法,148,2
M-10,要求政府修訂航空動物運輸條例， 確保寵物安全及權益，以符合國際動物保護規範。,/idea/detail/efd966b8-af58-4f16-9eec-9cc3bb49e42a,"cherrie ",Fully Support,2024-05-07 13:26:05,其他想法,92,1
